#task_id,task_type,worker_rank,timeout,overhead,inv,max,level,outcome,rc_num,rc_str,tot_msec_solv,tot_msec_task
d823d2f2-134f-4a8e-87a4-7a10e3ea3f19,cnf,15,20.0,0.048003742999981114,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,58
b3e2d77f-8b79-43db-8ddf-bf3303616876,cnf,16,20.0,0.048136271999965174,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,58
6de17699-d3be-4c43-bdf6-663eca231470,cnf,17,20.0,0.047476351999989674,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,57
b27312b0-66ab-4a00-b598-ef0a758a0b85,cnf,18,20.0,0.04830996200001891,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,58
c5495c16-9724-410a-8086-4b6e39991e1f,cnf,19,20.0,0.04872765300001447,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
818d24fb-6d4b-4469-b422-d685f6144d88,cnf,20,20.0,0.04832133200000044,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,58
4d77c870-2966-4b1c-94ef-37766e34bc93,cnf,21,20.0,0.049452021999968565,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,25,60
6b64991d-6ef2-45c7-b1ea-a094f66cf34b,cnf,22,20.0,0.051646422000033,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,25,62
59475e88-bc42-4c3d-b465-be6d386e20fa,cnf,23,20.0,0.049192483000013,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
b2a4c05e-c5cb-449a-aeea-e8b91872e45e,cnf,24,20.0,0.05037860199996658,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,60
21eb47d1-2af0-4968-ac79-d6ea44f8fffd,cnf,25,20.0,0.049334632000011425,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
32c304a6-4540-47d6-ac3d-6607e7b99af0,cnf,26,20.0,0.047903421999990314,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,58
3cc51c76-e894-43a2-967d-59a3e621415d,cnf,27,20.0,0.04794794299999694,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,58
b994edb0-98ee-47b4-b544-f68eca7cd8f5,cnf,28,20.0,0.04887083200003417,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
